<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
CSOD,D,20120102,18.24,18.24,18.24,18.24,0
CSPI,D,20120102,3.22,3.22,3.22,3.22,0
CSTR,D,20120102,45.64,45.64,45.64,45.64,0
CSWC,D,20120102,20.3875,20.3875,20.3875,20.3875,0
CSX,D,20120102,21.06,21.06,21.06,21.06,0
CTAS,D,20120102,34.81,34.81,34.81,34.81,0
CTBI,D,20120102,29.42,29.42,29.42,29.42,0
CTHR,D,20120102,2.57,2.57,2.57,2.57,0
CTIB,D,20120102,4.38,4.38,4.38,4.38,0
CTIC,D,20120102,58,58,58,58,0
CTRN,D,20120102,8.78,8.78,8.78,8.78,0
CTRP,D,20120102,11.7,11.7,11.7,11.7,0
CTSH,D,20120102,32.155,32.155,32.155,32.155,0
CTWS,D,20120102,27.13,27.13,27.13,27.13,0
CTXS,D,20120102,48.3439,48.3439,48.3439,48.3439,0
CUBA,D,20120102,6.42,6.42,6.42,6.42,0
CUTR,D,20120102,7.45,7.45,7.45,7.45,0
CVBF,D,20120102,10.03,10.03,10.03,10.03,0
CVCO,D,20120102,40.06,40.06,40.06,40.06,0
CVCY,D,20120102,5.43,5.43,5.43,5.43,0
CVGI,D,20120102,9.04,9.04,9.04,9.04,0
CVGW,D,20120102,25.68,25.68,25.68,25.68,0
CVLT,D,20120102,42.72,42.72,42.72,42.72,0
CVLY,D,20120102,8.3,8.3,8.3,8.3,0
CVTI,D,20120102,2.97,2.97,2.97,2.97,0
CVV,D,20120102,12.03,12.03,12.03,12.03,0
CWBC,D,20120102,1.49,1.49,1.49,1.49,0
CWCO,D,20120102,8.58,8.58,8.58,8.58,0
CWST,D,20120102,6.4,6.4,6.4,6.4,0
CXDC,D,20120102,5.34,5.34,5.34,5.34,0
CY,D,20120102,16.89,16.89,16.89,16.89,0
CYAN,D,20120102,6.95,6.95,6.95,6.95,0
CYBE,D,20120102,7.8,7.8,7.8,7.8,0
CYCC,D,20120102,49.56,49.56,49.56,49.56,0
CYCCP,D,20120102,2.85,2.85,2.85,2.85,0
CYOU,D,20120102,23.05,23.05,23.05,23.05,0
CYTK,D,20120102,5.76,5.76,5.76,5.76,0
CYTR,D,20120102,1.96,1.96,1.96,1.96,0
CYTX,D,20120102,33,33,33,33,0
CYTXW,D,20120102,0.98,0.98,0.98,0.98,0
CZFC,D,20120102,6.99,6.99,6.99,6.99,0
CZNC,D,20120102,18.47,18.47,18.47,18.47,0
CZWI,D,20120102,5.13,5.13,5.13,5.13,0
