<ticker>,<per>,<date>,<open>,<high>,<low>,<close>,<vol>
TFSL,D,20120102,8.96,8.96,8.96,8.96,0
TGA,D,20120102,7.9,7.9,7.9,7.9,0
THFF,D,20120102,33.28,33.28,33.28,33.28,0
THLD,D,20120102,1.22,1.22,1.22,1.22,0
TICC,D,20120102,8.65,8.65,8.65,8.65,0
TISA,D,20120102,2.25,2.25,2.25,2.25,0
TITN,D,20120102,21.73,21.73,21.73,21.73,0
TIVO,D,20120102,8.97,8.97,8.97,8.97,0
TLF,D,20120102,4.88,4.88,4.88,4.88,0
TLT,D,20120102,121.25,121.25,121.25,121.25,0
TNAV,D,20120102,7.81,7.81,7.81,7.81,0
TNDM,D,20120102,10.69,10.69,10.69,10.69,0
TOPS,D,20120102,2506,2506,2506,2506,0
TORM,D,20120102,15.66,15.66,15.66,15.66,0
TOWN,D,20120102,12.24,12.24,12.24,12.24,0
TQQQ,D,20120102,8.4988,8.4988,8.4988,8.4988,0
TREE,D,20120102,5.59,5.59,5.59,5.59,0
TRIB,D,20120102,10.18,10.18,10.18,10.18,0
TRIP,D,20120102,25.21,25.21,25.21,25.21,0
TRMB,D,20120102,21.7,21.7,21.7,21.7,0
TRMK,D,20120102,24.29,24.29,24.29,24.29,0
TRNS,D,20120102,11.5,11.5,11.5,11.5,0
TROW,D,20120102,56.95,56.95,56.95,56.95,0
TRS,D,20120102,17.95,17.95,17.95,17.95,0
TRST,D,20120102,5.61,5.61,5.61,5.61,0
TSBK,D,20120102,3.95,3.95,3.95,3.95,0
TSCO,D,20120102,35.075,35.075,35.075,35.075,0
TSEM,D,20120102,9.45,9.45,9.45,9.45,0
TSLA,D,20120102,28.56,28.56,28.56,28.56,0
TSRI,D,20120102,4.15,4.15,4.15,4.15,0
TST,D,20120102,1.68,1.68,1.68,1.68,0
TTEC,D,20120102,16.2,16.2,16.2,16.2,0
TTEK,D,20120102,21.59,21.59,21.59,21.59,0
TTGT,D,20120102,5.84,5.84,5.84,5.84,0
TTMI,D,20120102,10.96,10.96,10.96,10.96,0
TTWO,D,20120102,13.55,13.55,13.55,13.55,0
TUES,D,20120102,3.45,3.45,3.45,3.45,0
TWIN,D,20120102,36.32,36.32,36.32,36.32,0
TWMC,D,20120102,2.53,2.53,2.53,2.53,0
TXN,D,20120102,29.11,29.11,29.11,29.11,0
TXRH,D,20120102,14.9,14.9,14.9,14.9,0
TYPE,D,20120102,15.59,15.59,15.59,15.59,0
TZOO,D,20120102,24.58,24.58,24.58,24.58,0
UBCP,D,20120102,8.46,8.46,8.46,8.46,0
UBFO,D,20120102,2.19,2.19,2.19,2.19,0
UBNK,D,20120102,16.09,16.09,16.09,16.09,0
UBNT,D,20120102,18.23,18.23,18.23,18.23,0
UBOH,D,20120102,6.87,6.87,6.87,6.87,0
UBSH,D,20120102,13.29,13.29,13.29,13.29,0
UBSI,D,20120102,28.27,28.27,28.27,28.27,0
UCBA,D,20120102,5.53,5.53,5.53,5.53,0
UCBI,D,20120102,6.99,6.99,6.99,6.99,0
UCFC,D,20120102,1.27,1.27,1.27,1.27,0
UCTT,D,20120102,6.11,6.11,6.11,6.11,0
UEIC,D,20120102,16.87,16.87,16.87,16.87,0
UEPS,D,20120102,7.67,7.67,7.67,7.67,0
UFCS,D,20120102,20.18,20.18,20.18,20.18,0
UFPI,D,20120102,30.87,30.87,30.87,30.87,0
UFPT,D,20120102,14.77,14.77,14.77,14.77,0
UG,D,20120102,15.25,15.25,15.25,15.25,0
UHAL,D,20120102,88.4,88.4,88.4,88.4,0
ULBI,D,20120102,4.02,4.02,4.02,4.02,0
ULTA,D,20120102,64.92,64.92,64.92,64.92,0
ULTI,D,20120102,65.12,65.12,65.12,65.12,0
UMBF,D,20120102,37.25,37.25,37.25,37.25,0
UMPQ,D,20120102,12.39,12.39,12.39,12.39,0
UNAM,D,20120102,12.05,12.05,12.05,12.05,0
UNB,D,20120102,19.04,19.04,19.04,19.04,0
UNFI,D,20120102,40,40,40,40,0
UNTY,D,20120102,6.4,6.4,6.4,6.4,0
UNXL,D,20120102,5.1,5.1,5.1,5.1,0
URBN,D,20120102,27.56,27.56,27.56,27.56,0
URRE,D,20120102,87.6,87.6,87.6,87.6,0
USAK,D,20120102,7.73,7.73,7.73,7.73,0
USAP,D,20120102,37.36,37.36,37.36,37.36,0
USAT,D,20120102,1.12,1.12,1.12,1.12,0
USATP,D,20120102,17.4,17.4,17.4,17.4,0
USCR,D,20120102,2.9,2.9,2.9,2.9,0
USEG,D,20120102,17.46,17.46,17.46,17.46,0
USLM,D,20120102,60.11,60.11,60.11,60.11,0
UTHR,D,20120102,47.25,47.25,47.25,47.25,0
UTMD,D,20120102,27,27,27,27,0
UTSI,D,20120102,4.14,4.14,4.14,4.14,0
UVSP,D,20120102,14.64,14.64,14.64,14.64,0
VALU,D,20120102,10.28,10.28,10.28,10.28,0
VBFC,D,20120102,20,20,20,20,0
VCIT,D,20120102,82.37,82.37,82.37,82.37,0
VCLT,D,20120102,86.7,86.7,86.7,86.7,0
VCSH,D,20120102,77.86,77.86,77.86,77.86,0
VDSI,D,20120102,6.52,6.52,6.52,6.52,0
VECO,D,20120102,20.8,20.8,20.8,20.8,0
VGIT,D,20120102,65.63,65.63,65.63,65.63,0
VGLT,D,20120102,75.11,75.11,75.11,75.11,0
VGSH,D,20120102,60.98,60.98,60.98,60.98,0
VIA,D,20120102,53.33,53.33,53.33,53.33,0
VIAB,D,20120102,45.41,45.41,45.41,45.41,0
VICL,D,20120102,44.1,44.1,44.1,44.1,0
VICR,D,20120102,7.96,7.96,7.96,7.96,0
VIRC,D,20120102,1.61,1.61,1.61,1.61,0
VIVO,D,20120102,18.84,18.84,18.84,18.84,0
VLGEA,D,20120102,28.45,28.45,28.45,28.45,0
VMBS,D,20120102,51.88,51.88,51.88,51.88,0
VNDA,D,20120102,4.76,4.76,4.76,4.76,0
VNET,D,20120102,9.15,9.15,9.15,9.15,0
VNQI,D,20120102,40.7,40.7,40.7,40.7,0
VOD,D,20120102,28.03,28.03,28.03,28.03,0
VONE,D,20120102,57.25,57.25,57.25,57.25,0
VONG,D,20120102,59.44,59.44,59.44,59.44,0
VONV,D,20120102,55.54,55.54,55.54,55.54,0
VOXX,D,20120102,8.45,8.45,8.45,8.45,0
VRA,D,20120102,32.25,32.25,32.25,32.25,0
VRML,D,20120102,1.19,1.19,1.19,1.19,0
VRNT,D,20120102,27.54,27.54,27.54,27.54,0
VRSK,D,20120102,40.13,40.13,40.13,40.13,0
VRSN,D,20120102,35.72,35.72,35.72,35.72,0
VRTS,D,20120102,76.01,76.01,76.01,76.01,0
VRTU,D,20120102,14.48,14.48,14.48,14.48,0
VRTX,D,20120102,33.21,33.21,33.21,33.21,0
VSAT,D,20120102,46.12,46.12,46.12,46.12,0
VSEC,D,20120102,12.14,12.14,12.14,12.14,0
VTHR,D,20120102,57.42,57.42,57.42,57.42,0
VTWG,D,20120102,60.93,60.93,60.93,60.93,0
VTWO,D,20120102,58.53,58.53,58.53,58.53,0
VTWV,D,20120102,56.67,56.67,56.67,56.67,0
VVUS,D,20120102,9.75,9.75,9.75,9.75,0
VXUS,D,20120102,40.9,40.9,40.9,40.9,0
WABC,D,20120102,43.9,43.9,43.9,43.9,0
WAFD,D,20120102,13.99,13.99,13.99,13.99,0
WASH,D,20120102,23.86,23.86,23.86,23.86,0
WAYN,D,20120102,7.76,7.76,7.76,7.76,0
WBKC,D,20120102,14.1,14.1,14.1,14.1,0
WBMD,D,20120102,37.55,37.55,37.55,37.55,0
WDC,D,20120102,30.95,30.95,30.95,30.95,0
WDFC,D,20120102,40.41,40.41,40.41,40.41,0
WEN,D,20120102,5.36,5.36,5.36,5.36,0
WERN,D,20120102,24.1,24.1,24.1,24.1,0
WETF,D,20120102,6.05,6.05,6.05,6.05,0
WEYS,D,20120102,24.55,24.55,24.55,24.55,0
WFM,D,20120102,34.79,34.79,34.79,34.79,0
WIFI,D,20120102,8.6,8.6,8.6,8.6,0
WILC,D,20120102,4.57,4.57,4.57,4.57,0
WIN,D,20120102,11.74,11.74,11.74,11.74,0
WINA,D,20120102,57.37,57.37,57.37,57.37,0
WIRE,D,20120102,25.9,25.9,25.9,25.9,0
WLB,D,20120102,12.75,12.75,12.75,12.75,0
WLDN,D,20120102,3.96,3.96,3.96,3.96,0
WLFC,D,20120102,11.95,11.95,11.95,11.95,0
WMAR,D,20120102,11.63,11.63,11.63,11.63,0
WMGI,D,20120102,16.5,16.5,16.5,16.5,0
WOOD,D,20120102,37.19,37.19,37.19,37.19,0
WOOF,D,20120102,19.75,19.75,19.75,19.75,0
WPCS,D,20120102,258.72,258.72,258.72,258.72,0
WPPGY,D,20120102,52.23,52.23,52.23,52.23,0
WPRT,D,20120102,33.24,33.24,33.24,33.24,0
WRLD,D,20120102,73.5,73.5,73.5,73.5,0
WRLS,D,20120102,7.5,7.5,7.5,7.5,0
WSBC,D,20120102,19.47,19.47,19.47,19.47,0
WSBF,D,20120102,1.89,1.89,1.89,1.89,0
WSCI,D,20120102,5.59,5.59,5.59,5.59,0
WSFS,D,20120102,11.9867,11.9867,11.9867,11.9867,0
WSTG,D,20120102,12.2,12.2,12.2,12.2,0
WSTL,D,20120102,8.88,8.88,8.88,8.88,0
WTBA,D,20120102,9.58,9.58,9.58,9.58,0
WTFC,D,20120102,28.05,28.05,28.05,28.05,0
WTFCW,D,20120102,12.08,12.08,12.08,12.08,0
WVFC,D,20120102,9.05,9.05,9.05,9.05,0
WVVI,D,20120102,3,3,3,3,0
WWD,D,20120102,40.93,40.93,40.93,40.93,0
WYNN,D,20120102,110.49,110.49,110.49,110.49,0
XBKS,D,20120102,3.73,3.73,3.73,3.73,0
XLNX,D,20120102,32.06,32.06,32.06,32.06,0
XOMA,D,20120102,23,23,23,23,0
XRAY,D,20120102,34.99,34.99,34.99,34.99,0
YNDX,D,20120102,19.7,19.7,19.7,19.7,0
YORW,D,20120102,17.64,17.64,17.64,17.64,0
Z,D,20120102,22.48,22.48,22.48,22.48,0
ZAGG,D,20120102,7.07,7.07,7.07,7.07,0
ZBRA,D,20120102,35.78,35.78,35.78,35.78,0
ZEUS,D,20120102,23.32,23.32,23.32,23.32,0
ZGNX,D,20120102,17.76,17.76,17.76,17.76,0
ZION,D,20120102,16.28,16.28,16.28,16.28,0
ZIONW,D,20120102,3,3,3,3,0
ZIOP,D,20120102,4.41,4.41,4.41,4.41,0
ZIXI,D,20120102,2.82,2.82,2.82,2.82,0
ZN,D,20120102,2.21,2.21,2.21,2.21,0
ZNGA,D,20120102,9.41,9.41,9.41,9.41,0
ZUMZ,D,20120102,27.76,27.76,27.76,27.76,0
